prompt,context,output
"Extract the target person's education history as JSON.
Target person: Vilas Dhar
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""J.D. (professional doctorate — terminal)"", ""field"": ""Law"", ""university"": ""New York University School of Law"", ""year"": ""—"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Vipin Kumar
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""B.E. (Bachelor's Degree)"", ""field"": ""Electronics Engineering"", ""university"": ""Indian Institute of Technology Roorkee"", ""year"": ""1977 (per ResearchGate; oral history doesn't give a year)"", ""country"": ""India""}"
"Extract the target person's education history as JSON.
Target person: Vipin Kumar
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Master's Degree — not in the existing biography; likely correction needed"", ""field"": ""Electronics Engineering"", ""university"": ""Philips International Institute, The Netherlands"", ""year"": ""1979"", ""country"": ""Netherlands""}"
"Extract the target person's education history as JSON.
Target person: Vipin Kumar
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Computer Science"", ""university"": ""University of Maryland, College Park"", ""year"": ""1982 (started 1979)"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Virginia Dignum
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""PhD"", ""field"": ""Computer Science / Artificial Intelligence (agent-based organizational systems)"", ""university"": ""Utrecht University"", ""year"": ""2004"", ""country"": ""Netherlands""}"
"Extract the target person's education history as JSON.
Target person: Vukosi Marivate
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""BSc"", ""field"": ""Electrical Engineering (Information Option)"", ""university"": ""University of the Witwatersrand"", ""year"": ""2004 (per Wikipedia; not independently re-confirmed)"", ""country"": ""South Africa""}"
"Extract the target person's education history as JSON.
Target person: Vukosi Marivate
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""MSc"", ""field"": ""Electrical Engineering"", ""university"": ""University of the Witwatersrand"", ""year"": ""2008 (per Wikipedia; not independently re-confirmed)"", ""country"": ""South Africa""}"
"Extract the target person's education history as JSON.
Target person: Vukosi Marivate
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Computer Science"", ""university"": ""Rutgers University"", ""year"": ""Started 2009; ORCID indicates completion January 2015, not 2009 as currently listed"", ""country"": ""USA""}"
"Extract the target person's education history as JSON.
Target person: Wendy Hall
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""BSc"", ""field"": ""Mathematics"", ""university"": ""University of Southampton"", ""year"": ""1974"", ""country"": ""United Kingdom""}"
"Extract the target person's education history as JSON.
Target person: Wendy Hall
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""PhD"", ""field"": ""Mathematics (Pure Mathematics)"", ""university"": ""University of Southampton"", ""year"": ""1977"", ""country"": ""United Kingdom""}"
"Extract the target person's education history as JSON.
Target person: Wendy Hall
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""MSc"", ""field"": ""Computing / Computer Science"", ""university"": ""City University London"", ""year"": ""1986"", ""country"": ""United Kingdom""}"
"Extract the target person's education history as JSON.
Target person: Yi Zeng
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""Bachelor's"", ""field"": ""Computer Science / AI (foundational)"", ""university"": ""Beijing University of Technology (北京工业大学)"", ""year"": ""—"", ""country"": ""China""}"
"Extract the target person's education history as JSON.
Target person: Yi Zeng
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""PhD (工学博士 / Doctor of Engineering)"", ""field"": ""Computer Science / Brain-inspired AI"", ""university"": ""Beijing University of Technology (北京工业大学), School of Computer Science"", ""year"": ""—"", ""country"": ""China""}"
"Extract the target person's education history as JSON.
Target person: Yoshua Bengio
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Bachelor's (B.Eng. per ACM/Wikipedia; \""BSc, Electrical Engineering\"" per CIFAR)"", ""field"": ""Computer engineering (ACM/Wikipedia) vs. Electrical Engineering (CIFAR)"", ""university"": ""McGill University"", ""year"": ""1986"", ""country"": ""Canada""}"
"Extract the target person's education history as JSON.
Target person: Yoshua Bengio
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""MSc (per ACM/Wikipedia) / MEng (per CIFAR)"", ""field"": ""Computer science"", ""university"": ""McGill University"", ""year"": ""1988"", ""country"": ""Canada""}"
"Extract the target person's education history as JSON.
Target person: Yoshua Bengio
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Computer science"", ""university"": ""McGill University"", ""year"": ""1991"", ""country"": ""Canada""}"
"Extract the target person's education history as JSON.
Target person: Yutaka Matsuo
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""Bachelor's — possibly the degree currently mislabeled as \""Master's\"" in the existing table"", ""field"": ""Electronics and Information Engineering"", ""university"": ""University of Tokyo (Faculty of Engineering)"", ""year"": ""1997"", ""country"": ""Japan""}"
"Extract the target person's education history as JSON.
Target person: Yutaka Matsuo
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",IISP,"{""level"": ""PhD"", ""field"": ""Engineering (Electronic and Information Engineering)"", ""university"": ""University of Tokyo (Graduate School of Engineering)"", ""year"": ""2002 (March)"", ""country"": ""Japan""}"
"Extract the target person's education history as JSON.
Target person: Zhang Linghan
Return a JSON array of degrees with fields: level, field, university, year, country. Only include information about the target person.",High-level Advisory Body on Artificial Intelligence,"{""level"": ""PhD (博士)"", ""field"": ""Law"", ""university"": ""Jilin University (吉林大学)"", ""year"": ""—"", ""country"": ""China""}"
